"","subunit_1","subunit_2","subunit_3","subunit_4"
"Activin AB","INHBA","INHBB","",""
"Inhibin A","INHA","INHBA","",""
"Inhibin B","INHA","INHBB","",""
"IL12AB","IL12A","IL12B","",""
"IL23 complex","IL12B","IL23A","",""
"IL27 complex","IL27","EBI3","",""
"IL17AF","IL17A","IL17F","",""
"LTa1b2","LTA","LTB","",""
"GP complex","GP1BA","GP1BB","GP5","GP9"
"ACVR1_ACVR2A","ACVR1","ACVR2A","",""
"ACVR1_ACVR2B","ACVR1","ACVR2B","",""
"ACVR1_BMPR2","ACVR1","BMPR2","",""
"ACVR1_TGFbR","ACVR1","TGFBR1","TGFBR2",""
"ACVR1B_ACVR2A","ACVR1B","ACVR2A","",""
"ACVR1B_ACVR2A_CFC1","ACVR1B","ACVR2A","CFC1",""
"ACVR1B_ACVR2B","ACVR1B","ACVR2B","",""
"ACVR1B_ACVR2B_CFC1","ACVR1B","ACVR2B","CFC1",""
"ACVR1B_BMPR2","ACVR1B","BMPR2","",""
"ACVR1B_TGFbR2","ACVR1B","TGFBR2","",""
"ACVR1C_ACVR2A","ACVR1C","ACVR2A","",""
"ACVR1C_ACVR2A_CFC1","ACVR1C","ACVR2A","CFC1",""
"ACVR1C_ACVR2B","ACVR1C","ACVR2B","",""
"ACVR1C_ACVR2B_CFC1","ACVR1C","ACVR2B","CFC1",""
"ACVR1C_TGFbR2","ACVR1C","TGFBR2","",""
"ACVRL1_ACVR2A","ACVRL1","ACVR2A","",""
"ACVRL1_BMPR2","ACVRL1","BMPR2","",""
"AMHR2_ACVR1","AMHR2","ACVR1","",""
"AMHR2_BMPR1A","AMHR2","BMPR1A","",""
"BMPR1A_ACVR2A","BMPR1A","ACVR2A","",""
"BMPR1A_ACVR2B","BMPR1A","ACVR2B","",""
"BMPR1A_BMPR2","BMPR1A","BMPR2","",""
"BMPR1B_ACVR2A","BMPR1B","ACVR2A","",""
"BMPR1B_ACVR2B","BMPR1B","ACVR2B","",""
"BMPR1B_BMPR2","BMPR1B","BMPR2","",""
"CD74_CD44","CD74","CD44","",""
"CD74_CXCR2","CD74","CXCR2","",""
"CD74_CXCR4","CD74","CXCR4","",""
"CD8 receptor","CD8A","CD8B","",""
"CNTFR_LIFR","CNTFR","LIFR","IL6ST",""
"CNTN1_CNTNAP1","CNTN1","CNTNAP1","",""
"CNTN2_CNTNAP2","CNTN2","CNTNAP2","",""
"CSF2RA_CSF2RB","CSF2RA","CSF2RB","",""
"EGFR_ERBB2","EGFR","ERBB2","",""
"ERBB2_ERBB3","ERBB2","ERBB3","",""
"ERBB2_ERBB4","ERBB2","ERBB4","",""
"FLT1_KDR","FLT1","KDR","",""
"FLT4_KDR","FLT4","KDR","",""
"FPR2_LXA4","FPR2","FPR3","",""
"FZD1_LRP5","FZD1","LRP5","",""
"FZD1_LRP6","FZD1","LRP6","",""
"FZD10_LRP5","FZD10","LRP5","",""
"FZD10_LRP6","FZD10","LRP6","",""
"FZD2_LRP5","FZD2","LRP5","",""
"FZD2_LRP6","FZD2","LRP6","",""
"FZD3_LRP5","FZD3","LRP5","",""
"FZD3_LRP6","FZD3","LRP6","",""
"FZD4_LRP5","FZD4","LRP5","",""
"FZD4_LRP6","FZD4","LRP6","",""
"FZD5_LRP5","FZD5","LRP5","",""
"FZD5_LRP6","FZD5","LRP6","",""
"FZD6_LRP5","FZD6","LRP5","",""
"FZD6_LRP6","FZD6","LRP6","",""
"FZD7_LRP5","FZD7","LRP5","",""
"FZD7_LRP6","FZD7","LRP6","",""
"FZD8_LRP5","FZD8","LRP5","",""
"FZD8_LRP6","FZD8","LRP6","",""
"FZD9_LRP5","FZD9","LRP5","",""
"FZD9_LRP6","FZD9","LRP6","",""
"GFRA1_RET","GFRA1","RET","",""
"GFRA2_RET","GFRA2","RET","",""
"GFRA3_RET","GFRA3","RET","",""
"GFRA4_RET","GFRA4","RET","",""
"IFNAR1_IFNAR2","IFNAR1","IFNAR2","",""
"IFNGR1_IFNGR2","IFNGR1","IFNGR2","",""
"IFNLR1_IL10RB","IFNLR1","IL10RB","",""
"IL10RA_IL10RB","IL10RA","IL10RB","",""
"IL11R complex","IL11RA","IL6ST","",""
"IL12RB1_IL12RB2","IL12RB1","IL12RB2","",""
"IL15RA_IL2RB","IL15RA","IL2RB","IL2RG",""
"IL17RA_IL17RB","IL17RA","IL17RB","",""
"IL17RA_IL17RC","IL17RA","IL17RC","",""
"IL17RA_IL17RE","IL17RA","IL17RE","",""
"IL18R1_IL18RAP","IL18R1","IL18RAP","",""
"IL1R1_IL1RAP","IL1R1","IL1RAP","",""
"IL1RL1_IL1RAP","IL1RL1","IL1RAP","",""
"IL1RL2_IL1RAP","IL1RL2","IL1RAP","",""
"IL2RA_IL2RB_IL2RG","IL20RA","IL20RB","IL2RG",""
"IL21R_IL2RG","IL21R","IL2RG","",""
"IL22RA1_IL10RB","IL22RA1","IL10RB","",""
"IL22RA1_IL20RB","IL22RA1","IL20RB","",""
"IL20RA_IL20RB","IL20RA","IL20RB","",""
"IL20RA_IL10RB","IL20RA","IL10RB","",""
"IL23R_IL12RB1","IL23R","IL12RB1","",""
"IL27RA_IL6ST","IL27RA","IL6ST","",""
"IL28RA_IL10RB","IFNLR1","IL10RB","",""
"IL2RB_IL2RG","IL2RB","IL2RG","",""
"IL2RA_IL2RB","IL2RA","IL2RB","IL2RG",""
"IL31RA_OSMR","IL31RA","OSMR","",""
"IL3RA_CSF2RB","IL3RA","CSF2RB","",""
"IL4R_IL13RA1","IL4R","IL13RA1","",""
"IL4R_IL13RA2","IL4R","IL13RA2","",""
"IL4R_IL2RG","IL4R","IL2RG","",""
"IL5RA_CSF2RB","IL5RA","CSF2RB","",""
"IL6R_IL6ST","IL6R","IL6ST","",""
"IL7R_CRLF2","IL7R","CRLF2","",""
"IL7R_IL2RG","IL7R","IL2RG","",""
"IL9R_IL2RG","IL9R","IL2RG","",""
"ITGA1_ITGB1","ITGA1","ITGB1","",""
"ITGA10_ITGB1","ITGA10","ITGB1","",""
"ITGA11_ITGB1","ITGA11","ITGB1","",""
"ITGA2_ITGB1","ITGA2","ITGB1","",""
"ITGA2B_ITGB3","ITGA2B","ITGB3","",""
"ITGA3_ITGB1","ITGA3","ITGB1","",""
"ITGA4_ITGB1","ITGA4","ITGB1","",""
"ITGA4_ITGB7","ITGA4","ITGB7","",""
"ITGA5_ITGB1","ITGA5","ITGB1","",""
"ITGA6_ITGB1","ITGA6","ITGB1","",""
"ITGA6_ITGB4","ITGA6","ITGB4","",""
"ITGA7_ITGB1","ITGA7","ITGB1","",""
"ITGA8_ITGB1","ITGA8","ITGB1","",""
"ITGA9_ITGB1","ITGA9","ITGB1","",""
"ITGAE_ITGB7","ITGAE","ITGB7","",""
"ITGAL_ITGB2","ITGAL","ITGB2","",""
"ITGAM_ITGB2","ITGAM","ITGB2","",""
"ITGAV_ITGB1","ITGAV","ITGB1","",""
"ITGAV_ITGB3","ITGAV","ITGB3","",""
"ITGAV_ITGB5","ITGAV","ITGB5","",""
"ITGAV_ITGB6","ITGAV","ITGB6","",""
"ITGAV_ITGB8","ITGAV","ITGB8","",""
"ITGAX_ITGB2","ITGAX","ITGB2","",""
"ITGB1_ITGA1","ITGB1","ITGA1","",""
"KLRD1_KLRC1","KLRD1","KLRC1","",""
"KLRD1_KLRC2","KLRD1","KLRC2","",""
