"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"TGFB1_TGFBR1_TGFBR2","TGFB1_TGFBR1_TGFBR2","TGFb","Tgfb1","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: mmu04350","Secreted Signaling","Tgfb1 - (Tgfbr1+Tgfbr2)"
"TGFB2_TGFBR1_TGFBR2","TGFB2_TGFBR1_TGFBR2","TGFb","Tgfb2","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: mmu04350","Secreted Signaling","Tgfb2  - (Tgfbr1+Tgfbr2)"
"TGFB3_TGFBR1_TGFBR2","TGFB3_TGFBR1_TGFBR2","TGFb","Tgfb3","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: mmu04350","Secreted Signaling","Tgfb3  - (Tgfbr1+Tgfbr2)"
"TGFB1_ACVR1B_TGFBR2","TGFB1_ACVR1B_TGFBR2","TGFb","Tgfb1","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb1  - (Acvr1b+Tgfbr2)"
"TGFB1_ACVR1C_TGFBR2","TGFB1_ACVR1C_TGFBR2","TGFb","Tgfb1","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb1  - (Acvr1c+Tgfbr2)"
"TGFB2_ACVR1B_TGFBR2","TGFB2_ACVR1B_TGFBR2","TGFb","Tgfb2","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb2  - (Acvr1b+Tgfbr2)"
"TGFB2_ACVR1C_TGFBR2","TGFB2_ACVR1C_TGFBR2","TGFb","Tgfb2","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb2  - (Acvr1c+Tgfbr2)"
"TGFB3_ACVR1B_TGFBR2","TGFB3_ACVR1B_TGFBR2","TGFb","Tgfb3","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb3  - (Acvr1b+Tgfbr2)"
"TGFB3_ACVR1C_TGFBR2","TGFB3_ACVR1C_TGFBR2","TGFb","Tgfb3","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb3  - (Acvr1c+Tgfbr2)"
"TGFB1_ACVR1_TGFBR1","TGFB1_ACVR1_TGFBR1","TGFb","Tgfb1","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","Tgfb1  - (Acvr1+Tgfbr1)"
"TGFB2_ACVR1_TGFBR1","TGFB2_ACVR1_TGFBR1","TGFb","Tgfb2","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","Tgfb2  - (Acvr1+Tgfbr1)"
