"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2","is_neurotransmitter","ligand.symbol","ligand.family","ligand.location","ligand.keyword","ligand.secreted_type","ligand.transmembrane","receptor.symbol","receptor.family","receptor.location","receptor.keyword","receptor.surfaceome_main","receptor.surfaceome_sub","receptor.adhesome","receptor.secreted_type","receptor.transmembrane","version"
"TGFB1_TGFBR1_TGFBR2","TGFB1_TGFBR1_TGFBR2","TGFb","Tgfb1","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: mmu04350","Secreted Signaling","Tgfb1 - (Tgfbr1+Tgfbr2)",FALSE,"Tgfb1","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein","growth factor",FALSE,"Tgfbr1, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB2_TGFBR1_TGFBR2","TGFB2_TGFBR1_TGFBR2","TGFb","Tgfb2","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: mmu04350","Secreted Signaling","Tgfb2  - (Tgfbr1+Tgfbr2)",FALSE,"Tgfb2","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein","growth factor",FALSE,"Tgfbr1, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB3_TGFBR1_TGFBR2","TGFB3_TGFBR1_TGFBR2","TGFb","Tgfb3","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: mmu04350","Secreted Signaling","Tgfb3  - (Tgfbr1+Tgfbr2)",FALSE,"Tgfb3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor",TRUE,"Tgfbr1, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB1_ACVR1B_TGFBR2","TGFB1_ACVR1B_TGFBR2","TGFb","Tgfb1","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb1  - (Acvr1b+Tgfbr2)",FALSE,"Tgfb1","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein","growth factor",FALSE,"Acvr1b, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB1_ACVR1C_TGFBR2","TGFB1_ACVR1C_TGFBR2","TGFb","Tgfb1","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb1  - (Acvr1c+Tgfbr2)",FALSE,"Tgfb1","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein","growth factor",FALSE,"Acvr1c, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB2_ACVR1B_TGFBR2","TGFB2_ACVR1B_TGFBR2","TGFb","Tgfb2","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb2  - (Acvr1b+Tgfbr2)",FALSE,"Tgfb2","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein","growth factor",FALSE,"Acvr1b, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB2_ACVR1C_TGFBR2","TGFB2_ACVR1C_TGFBR2","TGFb","Tgfb2","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb2  - (Acvr1c+Tgfbr2)",FALSE,"Tgfb2","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein","growth factor",FALSE,"Acvr1c, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB3_ACVR1B_TGFBR2","TGFB3_ACVR1B_TGFBR2","TGFb","Tgfb3","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb3  - (Acvr1b+Tgfbr2)",FALSE,"Tgfb3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor",TRUE,"Acvr1b, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB3_ACVR1C_TGFBR2","TGFB3_ACVR1C_TGFBR2","TGFb","Tgfb3","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb3  - (Acvr1c+Tgfbr2)",FALSE,"Tgfb3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor",TRUE,"Acvr1c, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
"TGFB1_ACVR1_TGFBR1","TGFB1_ACVR1_TGFBR1","TGFb","Tgfb1","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","Tgfb1  - (Acvr1+Tgfbr1)",FALSE,"Tgfb1","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein","growth factor",FALSE,"Acvr1, Tgfbr1, Tgfbr2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","",TRUE,"CellChatDB v1"
