,HMDB_ID,Metabolite,Gene,Database,Evidence
0,HMDB0000122,D-Glucose,SLC2A1 / SLC2A10 / SLC2A11 / SLC2A12 / SLC2A14 / SLC2A2 / SLC2A3 / SLC2A4 / SLC2A6 / SLC2A7 / SLC2A8 / SLC2A9 / SLC45A1 / SLC5A10 / SLC5A11 / SLC5A9,MEBOCOST / PMID: 31993307 / PMID: 34511324 / RESOLUTE,PMID: 31993307 / PMID: 34511324 / RESOLUTE / Recon2
1,HMDB0000143,D-Galactose,SLC2A1 / SLC2A10 / SLC2A2 / SLC2A3 / SLC2A8,MEBOCOST / PMID: 31993307,PMID: 31993307 / Recon2
2,HMDB0000169,D-Mannose,SLC2A1 / SLC2A2 / SLC2A3 / SLC5A10 / SLC5A9,MEBOCOST / PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE / Recon2
3,HMDB0001514,Glucosamine,SLC2A1 / SLC2A2 / SLC2A4,MEBOCOST / PMID: 31993307,PMID: 31993307 / Recon2
4,HMDB0002183,Docosahexaenoic acid,SLC27A6 / SLC2A1 / SLC2A3 / SLC2A4,PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE
5,Unknown,D-Xylose,SLC2A3,PMID: 31993307,PMID: 31993307
6,HMDB0000641,L-Glutamine,SLC16A10 / SLC1A5 / SLC36A2 / SLC38A1 / SLC38A2 / SLC38A3 / SLC38A5 / SLC38A6 / SLC38A7 / SLC38A8 / SLC38A9 / SLC3A2 / SLC43A1 / SLC6A14 / SLC6A15 / SLC6A19 / SLC7A5 / SLC7A6 / SLC7A7 / SLC7A8,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324 / RESOLUTE,26724577 / 31535081; 30452920; 33953707; 34525179; 27154413; 25683269; 31881361; 28798141; 28507054; 25337245; 23213057; 32438035; 30025811; 33632871; 30935948; 33505538; 32422185; 30470977; 30671766; 25759021; 32747796; 31150647; 34054543; 31668020; 29208682; 32996252; 29542325; 30541099; 30071532; 34075790; 31866442; 26724577; 27055152; 33457003; 29337138; 32021249 / 32996252; 25759021; 26724577 / 33953707; 30671766 / 33953707; 30671766; 26724577; 33505538 / HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE / Recon2
7,HMDB0000161,L-Alanine,SLC16A10 / SLC1A5 / SLC36A1 / SLC36A2 / SLC38A1 / SLC38A2 / SLC38A3 / SLC38A6 / SLC6A15 / SLC6A16 / SLC7A8,HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE,HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE
8,HMDB0000168,L-Asparagine,SLC1A5 / SLC38A1 / SLC38A2 / SLC38A3 / SLC43A1,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324,33420487 / HMDB / PMID: 31993307 / PMID: 34511324 / Recon2
9,HMDB0000574,L-Cysteine,SLC16A10 / SLC1A5 / SLC38A1 / SLC38A2 / SLC43A2 / SLC7A11 / SLC7A8,HMDB / MEBOCOST / PMID: 31993307,33000412 / HMDB / PMID: 31993307 / Recon2
10,HMDB0000177,L-Histidine,SLC15A3 / SLC15A4 / SLC16A10 / SLC38A1 / SLC38A2 / SLC38A3 / SLC38A4 / SLC7A5,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,32377929 / HMDB / PMID: 31993307 / RESOLUTE / Recon2
11,HMDB0000187,L-Serine,SLC16A10 / SLC1A4 / SLC1A5 / SLC36A2 / SLC38A1 / SLC38A2 / SLC38A6 / SLC3A2 / SLC43A1 / SLC6A15 / SLC6A16 / SLC7A10,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,33269112 / HMDB / PMID: 31993307 / RESOLUTE / Recon2
12,HMDB0000123,Glycine,SLC16A10 / SLC36A1 / SLC38A2,HMDB / MEBOCOST / PMID: 31993307,HMDB / PMID: 31993307
13,HMDB0000696,L-Methionine,SLC16A10 / SLC38A2 / SLC43A1 / SLC43A2 / SLC7A5,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324,32377929 / HMDB / PMID: 31993307 / PMID: 34511324 / Recon2
14,HMDB0000162,L-Proline,SLC16A10 / SLC36A2 / SLC38A2 / SLC6A15 / SLC6A16 / SLC6A20,HMDB / PMID: 31993307 / RESOLUTE,HMDB / PMID: 31993307 / RESOLUTE
15,HMDB0000167,L-Threonine,SLC16A10 / SLC1A5 / SLC43A1 / SLC6A15 / SLC6A16,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,HMDB / PMID: 31993307 / RESOLUTE / Recon2
16,HMDB0000190,L-Lactate,SLC16A1 / SLC16A2 / SLC16A3 / SLC16A4 / SLC16A5 / SLC16A7 / SLC16A8 / SLC5A12,MEBOCOST / PMID: 31993307 / PMID: 34511324 / RESOLUTE,32144120; 22428047 / PMID: 31993307 / PMID: 34511324 / RESOLUTE
17,HMDB0000243,Pyruvate,SLC16A1 / SLC16A10 / SLC16A11 / SLC16A2 / SLC16A3 / SLC16A5 / SLC16A7 / SLC5A12 / SLCO2A1,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,31882442 / HMDB / PMID: 31993307 / RESOLUTE / https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A11
18,Unknown,Ketone bodies,SLC16A1 / SLC16A3 / SLC16A7,PMID: 31993307,PMID: 31993307
19,HMDB0001488,Nicotinate,SLC16A1 / SLC22A5 / SLC5A12 / SLCO2B1,HMDB / PMID: 31993307,HMDB / PMID: 31993307
20,Unknown,Propionate,SLC5A12,PMID: 31993307,PMID: 31993307
21,HMDB0000039,Butyrate,SLC16A1 / SLC5A12,HMDB / PMID: 31993307,HMDB / PMID: 31993307
22,Unknown,beta-Dhydroxybutyrate,SLC5A12,PMID: 31993307,PMID: 31993307
23,HMDB0000148,L-Glutamate,SLC16A1 / SLC16A10 / SLC17A2 / SLC1A1 / SLC1A2 / SLC1A3 / SLC1A5 / SLC1A6 / SLC1A7 / SLC3A2 / SLC7A11,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324 / RESOLUTE / TransportDB,29208682 / HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE / TransportDB
24,HMDB0000191,L-Aspartate,SLC16A10 / SLC1A2 / SLC1A3 / SLC1A6,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,31269432 / HMDB / PMID: 31993307 / RESOLUTE
25,HMDB0006483,D-Aspartate,SLC1A2 / SLC1A3,PMID: 31993307,PMID: 31993307
26,HMDB0000192,L-Cystine,SLC16A10 / SLC3A1 / SLC3A2 / SLC7A11 / SLC7A9,HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE,HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE
27,HMDB0015532,Zinc,SLC30A1 / SLC30A10 / SLC30A2 / SLC30A4 / SLC30A5 / SLC30A6 / SLC30A8 / SLC39A1 / SLC39A10 / SLC39A2 / SLC39A3 / SLC39A4 / SLC39A6 / SLC39A7 / SLC39A8 / SLC41A1,PMID: 31993307 / PMID: 34511324 / RESOLUTE / TransportDB,PMID: 31993307 / PMID: 34511324 / RESOLUTE / TransportDB
28,HMDB0000547,Magnesium,SLC41A1 / SLC41A2 / SLC41A3,PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE
29,HMDB0000692 / HMDB0015531,Iron,CD71 / CUBN / SLC11A1 / SLC11A2 / SLC39A1 / SLC39A2 / SLC3A2 / SLC40A1 / SLC41A1 / SLC41A2 / SLC46A1,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324 / TransportDB,23506870 / 25209728; 30852438; 27667161; 24644245; 21875943; 20675164; 23506870; 21199650; 33787609; 17181986; 14757427; 15338274; 27773819; 23922661; 29212168; 24121729; 28219768; 28978826; 21175851 / HMDB / PMID: 31993307 / PMID: 34511324 / TransportDB
30,HMDB0000657,Copper,ATP7A / ATP7B / SLC31A1 / SLC31A2 / SLC41A1,HMDB / PMID: 31993307 / TransportDB,HMDB / PMID: 31993307 / TransportDB
