,0
0,PDE10A
1,DPM1
2,HAS3
3,MANBA
4,ABCB11
5,SLC29A3
6,SLCO2B1
7,IDI1
8,PMVK
9,ACY1
10,CPOX
11,NDUFC2
12,ALDH3A2
13,SLC5A11
14,DMGDH
15,ETFA
16,MAN1B1
17,SLC5A10
18,CYP4F3
19,ETFB
20,B4GALT7
21,SLC13A3
22,ALOX5
23,NPR1
24,SCD
25,ACOT12
26,COX7B
27,UROS
28,GLRX
29,ALPL
30,SLC5A7
31,MIOX
32,CYP27B1
33,ST3GAL4
34,ATP4A
35,AMPD1
36,MDH2
37,SLC46A1
38,SGSH
39,PKLR
40,INPP1
41,DCK
42,NME2
43,FECH
44,SLC5A5
45,QDPR
46,OTC
47,ENGASE
48,SULT2B1
49,PRPS2
50,CYP8B1
51,NDUFS3
52,ACAD8
53,ME3
54,AMD1
55,SLC16A3
56,SETD7
57,GMPR
58,CA7
59,CHAT
60,ELOVL4
61,GNMT
62,DPYSL2
63,NDUFA3
64,GUCY2F
65,SLC17A2
66,AK1
67,PDE4A
68,PCYT2
69,PGM1
70,PLCD3
71,ADCY3
72,SLC1A4
73,PFKFB1
74,PDHB
75,B3GNT4
76,PGK2
77,PLA2G12A
78,B3GAT3
79,PAPSS1
80,PIKFYVE
81,GPT2
82,SLC22A1
83,PIGF
84,HMOX2
85,SLC2A9
86,CA4
87,ATP6V1A
88,ACSL1
89,SUV39H2
90,PGD
91,SLC25A5
92,ASS1
93,GALNT11
94,SLC15A2
95,PI4K2A
96,PTGDS
97,SLC2A4
98,PIGT
99,CPT1A
100,HMGCL
101,IMPDH1
102,ECH1
103,G6PC2
104,PYGB
105,ALOX15B
106,GALNT13
107,FPGT
108,PIGL
109,CYP4F2
110,NSF
111,TRDMT1
112,SLC17A4
113,DDO
114,ATIC
115,HMBS
116,SLC3A2
117,UMPS
118,ARSB
119,SLC22A4
120,ALDH2
121,PIP5K1A
122,CDA
123,CTH
124,PRDX1
125,MOGAT1
126,GCNT2
127,NADK
128,CYP21A2
129,PCK2
130,EHMT2
131,PGS1
132,SLC6A2
133,SLC7A3
134,PDE6D
135,PIP4K2C
136,AOC3
137,RDH13
138,GGH
139,SLC35C1
140,PCK1
141,BPGM
142,ACY3
143,TPK1
144,ARG2
145,DGUOK
146,SLC25A16
147,ATP10A
148,BAAT
149,TPH2
150,PNP
151,PLD1
152,SPTLC2
153,HMGCS2
154,HSD11B2
155,AQP9
156,ATP1B4
157,PLA2G6
158,CYP2C18
159,GLS2
160,SAT2
161,MTHFD2
162,ATP2B1
163,COX7A1
164,XYLB
165,RPIA
166,GART
167,UXS1
168,DDOST
169,IDO1
170,ATP6V1F
171,COX8A
172,SLC20A2
173,ACMSD
174,ADK
175,ENPP3
176,HAGHL
177,PRDX3
178,CYBRD1
179,SC5D
180,SLC24A4
181,AHCY
182,ETNK1
183,SUCLA2
184,SLC2A12
185,PC
186,UQCRC1
187,SLC34A2
188,CYP7B1
189,ALAS2
190,SAT1
191,RDH16
192,AGPAT2
193,MDH1
194,B3GNT5
195,CKMT2
196,IMPA1
197,TGDS
198,ETNPPL
199,DDC
200,CBR1
201,CNDP1
202,MGST2
203,CYP2F1
204,NAGA
205,BCAT1
206,SLC1A2
207,MOXD1
208,PPCDC
209,SLC5A8
210,SLC17A3
211,SPHK2
212,DBT
213,SLC9A8
214,PTGIS
215,MTHFD1
216,HLCS
217,UGT1A8
218,ATP6V1E2
219,COX6C
220,ADH4
221,KYNU
222,HMGCR
223,PNLIPRP2
224,THNSL1
225,ALDH1A3
226,SDHC
227,CSAD
228,XDH
229,CYP11A1
230,SLC2A13
231,HSD11B1
232,SLC25A12
233,HS3ST1
234,GAL3ST1
235,AGL
236,CA2
237,SLC18A3
238,ITPKA
239,SLC25A14
240,TYMS
241,UCK1
242,DHODH
243,PLD2
244,ABCC3
245,COQ2
246,ITPKB
247,HAS1
248,PLCH2
249,NDST3
250,SLC4A7
251,ALPP
252,HSD17B2
253,ACO2
254,BLVRA
255,PIGG
256,BCAT2
257,P4HA2
258,GALK2
259,CYP1A2
260,PFKFB3
261,PYCR1
262,MAN1C1
263,SLC27A4
264,ADCY5
265,GLDC
266,SLC12A6
267,ACOX2
268,SLC4A9
269,PLCG2
270,G6PC3
271,MGAT3
272,PAFAH2
273,SDS
274,INPPL1
275,PIGH
276,ST3GAL2
277,ADCY9
278,HSD3B1
279,GAPDHS
280,INMT
281,IVD
282,GSS
283,NDUFB1
284,AK7
285,KDSR
286,CES2
287,SLC17A7
288,GNPNAT1
289,NPR2
290,SLC26A6
291,AK4
292,CMAS
293,PDE1A
294,PI4KA
295,ATP6V0A4
296,PFKL
