,0
0,Lta4h
1,Cerk
2,Atp1a3
3,Cox4i2
4,Slc12a5
5,Dgkg
6,Ak5
7,Mgat2
8,Acss1
9,Hibadh
10,Pip4k2b
11,Plcg2
12,Ndufb6
13,Galnt10
14,Mgat1
15,Neu2
16,Rdh11
17,Cox7a1
18,Crot
19,Ldhc
20,Cad
21,Rdh13
22,Slc18a3
23,Inpp5a
24,Thtpa
25,Ndufa1
26,Rdh12
27,Cpt1c
28,Tph2
29,Slc38a2
30,Atp6v1g1
31,Duox2
32,Slc9a7
33,Mat1a
34,Mthfd1l
35,mt-Nd2
36,Adcy4
37,Slco2b1
38,Impdh2
39,Msmo1
40,Ptgis
41,Glce
42,Acadm
43,Alg5
44,Slc2a10
45,Glul
46,Spr
47,Mthfd1
48,Maoa
49,Alas1
50,Mgat3
51,Pklr
52,Slc25a12
53,Ndufb3
54,Slc2a4
55,Ggt5
56,Nos1
57,Sis
58,Gusb
59,Alg10b
60,Cyb5d1
61,Mccc1
62,Uxs1
63,Glrx
64,Pigx
65,Aldoa
66,Acat3
67,Pla2g6
68,Dhcr24
69,Adh7
70,Aldh2
71,Tdo2
72,Mccc2
73,Mdh1
74,Idh3b
75,Slc13a5
76,Sdha
77,Slc15a2
78,Atp6v0a1
79,Aldh3a2
80,Extl1
81,Pnliprp1
82,Chsy1
83,Slc2a6
84,Pip5k1b
85,Atp6v1h
86,Isyna1
87,Rdh14
88,H6pd
89,Galnt11
90,Bcat1
91,Chst2
92,Mdh2
93,Ehhadh
94,Slc5a10
95,Abo
96,Ehmt1
97,Atp1a2
98,Pcx
99,B3gnt6
100,Inmt
101,Amdhd2
102,Cyp1a1
103,Gcdh
104,Inpp4b
105,Man1b1
106,Idua
107,Lpl
108,Setd7
109,Slc32a1
110,Pfkl
111,Rdh10
112,Hs3st1
113,Dgki
114,Dgkb
115,Alg8
116,Man1a2
117,C1galt1
118,Hadh
119,Hnmt
120,Acsm1
121,Slc26a1
122,Gucy1a2
123,Rbks
124,Slc5a7
125,Gpd1
126,St6galnac3
127,Agpat3
128,Ivd
129,Ndufs1
130,Prps1l1
131,Tcirg1
132,Acad9
133,Hsd17b1
134,Atp6v1b1
135,Lgsn
136,Ptges
137,Got2
138,Uroc1
139,St3gal2
140,Cyp8b1
141,Cox6b2
142,Abca1
143,Atp4a
144,Dpm3
145,Slc2a5
146,Slc35b4
147,Slc4a2
148,Galnt5
149,Npr1
150,Ndufa13
151,Pde7b
152,Slc6a2
153,Atp6v1g3
154,Aprt
155,Ampd2
156,Ak7
157,Slc9a2
158,Slc43a2
159,Gnmt
160,Alpi
161,Pik3c3
162,Car2
163,Akr1d1
164,Mthfd2
165,Hibch
166,Cept1
167,Cbr1
168,Ucp3
169,Mgll
170,Adcy7
171,mt-Nd5
172,mt-Co1
173,Dpyd
174,Ptgds
175,Slc17a8
176,Ctps2
177,Sqle
178,Pik3cb
179,Slc17a6
180,Slc2a13
181,Cds1
182,Ip6k1
183,Chst11
184,Scly
185,Slc22a2
186,Aanat
187,Slc8a3
188,Ndufa9
189,Pla2g4a
190,Plcg1
191,Slc12a4
192,Man2c1
193,Acad8
194,Chst14
195,Ndufa3
196,Atp6v1f
197,Nmnat2
198,Slc25a18
199,Comt
200,Mthfr
201,Slc25a13
202,Pgls
203,Ak4
204,Adcy1
205,Eci1
206,Lalba
207,Slc12a7
208,Hpgds
209,Slc9a1
210,Prdx2
211,Txnrd2
212,Etfdh
213,Aox1
214,Ndufs8
215,Slco1c1
216,Sephs1
217,Pfkm
218,Cox7a2
219,Mmaa
220,Has2
221,Lipf
222,Aacs
223,Aco1
224,Pik3ca
225,Ndufs3
226,Slc26a6
227,Inpp1
228,Suv39h1
229,Fuca1
230,Pccb
231,Pla2g2e
232,Atp6v0e
233,Atp6v1b2
234,Slc6a5
235,Pafah1b3
236,Cda
237,Ndufa8
238,Slc9a4
239,Plch1
240,Slc6a3
241,Ndufa6
242,Dgat2
243,Aqp8
244,Ndufb5
245,Alg6
246,Pde1b
247,Acsl3
248,Gclm
249,Slc26a9
250,Sptlc2
251,Slc26a11
252,Clybl
253,Qdpr
254,Pcyt1a
255,Naglu
256,Dck
257,Prps1
258,Cyp2f2
259,Epx
260,Pign
261,Cybrd1
262,Slc16a2
263,Uap1
264,Paics
265,Nme3
266,Slc25a4
267,Fpgt
268,Plcz1
269,Dgkz
270,Dcxr
271,Rdh9
272,Gpx1
273,Atp1b4
274,Acyp2
275,Slc29a2
276,Txnrd3
277,Car14
278,Tk2
279,Slc33a1
280,Ggh
281,Abcc4
282,Inpp5d
283,Nadsyn1
284,A4galt
285,Plcxd2
286,Slc18a1
287,Arg2
288,Ehmt2
289,Acot8
290,Fads2
291,Atp2b2
292,Acadsb
293,Cyp1a2
294,Pgm3
295,Slc16a10
296,Naga
297,Ndufab1
298,Slc9a5
299,Urod
300,Pdha1
301,Aldh4a1
302,Me2
303,Gfpt2
304,Agps
305,Adh5
306,Slc25a20
307,Pts
308,Cox6b1
309,Galnt15
310,Srm
311,Gaa
312,Slc12a3
313,Ugp2
314,Gpaa1
315,Acaca
316,B3galt6
317,Gpx4
318,Entpd1
319,Hsd11b2
320,B3galt5
321,Me1
322,Ndufs2
323,Slc46a1
324,Pck1
325,Slc34a2
326,Acox3
327,Slc13a2
328,Gad2
329,Sdhb
330,Mat2a
331,Dld
332,Adcy10
333,Slc25a22
334,Ak1
335,Sgsh
336,Phyh
337,Ndufb8
338,Entpd6
339,Smpd3
340,Tpk1
341,Sgpl1
342,Pde8b
343,Ido1
344,Dut
345,Slc7a6
346,Nmnat1
347,Atp6v0a2
348,Dtymk
349,Idi1
350,mt-Nd4l
351,Coq7
352,Plcb1
353,Baat
354,Ptdss1
355,Itpa
356,Cyp4f18
357,Pik3r1
358,Hs3st6
359,Ext2
360,Tph1
361,Idh2
362,Pld1
363,Aldh18a1
364,Moxd1
365,Agpat5
366,Pla2g5
367,Chpf
368,Qprt
369,Man1c1
370,Nme4
371,Odc1
372,Cth
373,Gart
374,Umps
375,Neu4
376,Atp6v1g2
377,Thnsl1
378,Tpo
379,Adh1
380,Sgms1
381,Uck1
382,Nme7
383,Galt
384,Slc7a8
385,Gpi1
386,Galnt9
387,Atp6v0c
388,B4galt7
389,Aadat
390,Tgds
391,Hmgcr
392,B4galt1
393,Glo1
394,Arsa
395,Khk
396,Acp1
397,Slc17a7
398,Slc4a7
399,Gpd2
400,Ampd3
401,Nags
402,Pip5k1a
403,Atp1b2
404,Alad
405,St3gal3
406,Gpx3
407,Atp6v1e2
408,Chit1
409,Slc17a1
410,Nnmt
411,Ebp
412,Hmbs
413,Slc25a27
414,Nadk
415,Cyp21a1
416,Pla2g10
417,Slc26a7
418,Extl3
419,Atp4b
420,Lcat
421,Got1
422,Itpka
423,Gamt
424,Acy1
425,Uros
426,Slc20a1
427,Car13
428,Ggps1
429,Fut1
430,Ahcyl2
431,Fdft1
432,Galc
433,Acot12
434,Nos2
435,Ndufa12
436,Ndufv3
437,Atp6v1a
438,Alox5
439,Gapdhs
440,Sucla2
441,Gucy2f
442,Cyp46a1
443,Pah
444,Enpp2
445,Taldo1
446,Kdsr
447,Uqcr10
448,Acacb
449,Gne
450,Arsb
451,Agpat1
452,Hs3st3a1
453,Pfkfb4
454,Fads1
455,G6pc3
456,Cpox
457,St3gal1
458,Nsf
459,Slc4a1
460,Dgat1
461,Alox8
462,Car1
463,Nans
464,Slco3a1
465,Slc4a9
466,Hmgcs2
467,Akr1a1
468,Flad1
469,B4galt2
470,Atp6v0a4
471,Dhodh
472,Idh3a
473,Nmrk1
474,Cbs
475,Sdr16c5
476,Chpf2
477,Pde4c
478,Pik3r2
479,Acox1
480,Mogat2
481,Asns
482,Chst13
483,Sult2b1
484,Gnpda1
485,Psat1
486,Cox5a
487,Ndufa5
488,Cat
489,Nme1
490,Dgkq
491,St8sia1
492,Uqcrc1
493,Vnn1
494,Slc25a11
495,Coq6
496,Impa2
497,Plcd4
498,Uqcrfs1
499,Tm7sf2
500,Ipmk
501,Slc25a19
502,Shmt2
503,Cox6a1
504,Sod3
505,Slc27a3
506,B3gnt8
507,Sat2
508,Plcb2
509,Sord
510,Aqp9
511,mt-Cytb
512,Chkb
513,Gpx2
